AcX,AcY,AcZ
-16040,-840,-4644
-16868,1056,-3476
-16884,4380,-2444
-16096,2308,-5720
-15724,-1164,-6388
-15264,-2620,-6164
-14828,-1684,-6996
-14112,-3588,-8772
-15096,-3092,-6360
-15416,-1220,-3768
-16028,-2036,-2700
-16248,-2364,-3024
-15644,-1832,-4324
-16056,-1632,-5684
-15772,-2480,-6976
-15420,-2916,-6672
-15212,-3808,-5532
-14760,-3224,-8140
-17072,-3304,-6272
-19012,-1584,-5072
-17208,292,-4340
-18544,3076,-5264
-20356,3572,-5848
-20924,2788,-5756
-23436,-120,-4700
-24216,-528,-6240
-23632,600,-8840
-24360,936,-8588
-27060,2376,-8320
-29672,4692,-8644
-32768,8780,-11532
-29848,9212,-8064
-32768,1344,-4040
-32768,464,-9260
-24884,-2592,-18676
-27636,10032,-23736
-21004,12404,-11592
-10412,-152,-1672
-17312,-19348,5972
-9064,-952,-9372
-8280,6100,-10636
-4120,8460,-5732
-3632,5632,-3176
-4060,-1932,-2024
-4632,-3464,-1628
-5288,-1076,200
-6400,-516,344
-7680,-716,-588
-8848,-420,-720
-10848,748,-1428
-13240,376,-1300
-14516,-868,-1072
-16404,-740,-424
-19872,-880,-88
-24344,-2596,-88
-26388,-5508,-988
-28876,-8976,-2012
-32068,-13628,-3780
-32768,-19296,-3768
-32768,-23360,-2680
-31080,-23992,-5508
-25416,-22412,-10996
-23656,-29960,-6912
-21724,-32768,-1208
-17244,-31992,-1972
-16140,-29480,-3736
-15856,-24072,-6444
-32404,25284,-8936
-32768,32767,-7784
-32768,-4668,23664
-13720,-12212,13708
-11476,-12772,-3420
-17880,-10496,672
-12488,-6996,-2164
-13240,-16684,-19092
-23676,-7164,-15012
-13244,-15704,-5276
-17648,-5156,-9792
-15056,-896,-6100
-16540,4096,-5216
-16024,6084,-4276
-16444,936,-5224
-16112,-4096,-2660
-16684,-4708,-2668
-15532,-4712,-7380
-15448,-3168,-7664
-15324,84,-5628
-15328,-1128,-5568
-15480,-2764,-4924
-15784,-3080,-4676
-15976,-2920,-5460
-15620,-2508,-6204
-14960,-1904,-8488
-15940,-2456,-7344
-15492,-2348,-6464
-16616,-1312,-5112
-16844,-988,-6352
-17452,-832,-5188
-16776,504,-6072
-17632,4296,-6732
-18788,3564,-7892
-20204,2732,-6792
-22352,920,-4984
-23732,1760,-6336
-25016,2028,-9868
-23600,352,-8824
-24812,772,-7892
-27316,4016,-7832
-31332,6236,-10020
-31168,10832,-10140
-32768,4692,-4428
-31624,276,-4476
-30648,-1512,-19668
-26400,7696,-22328
-26736,14240,-17464
-24124,9028,-8616
-19352,-28728,2864
-13040,-7040,-5196
-12492,6676,-10460
-6512,6012,-6576
-3792,6176,-4208
-3980,1812,-2880
-4104,-196,-1528
-4768,1232,-1684
-7228,1416,-992
-7244,620,-1300
-8036,112,-2460
-9752,-540,-3256
-11944,-2640,-2944
-13556,-4244,-3692
-16652,-5128,-3528
-18624,-5972,-2048
-22084,-5868,-1336
-26888,-7060,-1392
-29064,-11364,-1456
-28560,-15020,-1556
-32768,-18324,-1528
-32768,-23984,-888
-32768,-24960,-1112
-25216,-18436,-7092
-23804,-26888,-6080
-20972,-32768,-352
-17572,-32268,1088
-18496,-28804,-1644
-14020,-28804,-4100
-29052,7116,-12684
-32768,32767,-19144
-32768,-5116,18920
-19264,-9552,9764
-9944,-5048,-6028
-17216,-4540,584
-11084,-2984,-2112
-14572,-3868,-8068
-9504,-18860,-15332
-23180,-8512,-10888
-12368,-11072,-6472
-18164,-2592,-5856
-15024,720,-4312
-17184,2844,-3276
-16524,2264,-5376
-15444,-2464,-7324
-15036,-3512,-6344
-15284,-3784,-7088
-14804,-3880,-7804
-15336,-1528,-6088
-15376,-52,-4444
-15860,-1664,-3796
-16328,-3612,-3808
-16160,-3440,-4400
-16580,-3100,-5476
-15540,-1200,-6176
-14968,112,-7268
-15020,-32,-7116
-15308,-444,-7616
-16056,-880,-8152
-18160,-936,-6660
-18824,416,-5448
-16840,2152,-6540
-18664,4256,-6680
-18864,1076,-7304
-20736,1084,-4552
-22944,1332,-5488
-24104,976,-6720
-23644,868,-8800
-24292,564,-8676
-26120,2616,-7824
-28440,5948,-8728
-32268,8628,-10944
-31024,11696,-8848
-32768,3412,-3568
-32768,1876,-9812
-26788,1656,-20988
-26288,8336,-21096
-27312,11064,-12004
-4684,-13516,-1912
-16688,-16164,0
-12416,1392,-11444
-9048,8168,-11816
-4420,7132,-6188
-4356,2424,-4712
-4304,-3732,-2276
-5092,-2840,-1384
-6004,256,-628
-6564,464,-700
-6556,1068,-2012
-7700,688,-1776
-9620,604,-2184
-11336,-1328,-2252
-14356,-2928,-2460
-15500,-4640,-2716
-18944,-4988,-2308
-23044,-4820,-1872
-30724,-8356,-2244
-32484,-14440,-2208
-32768,-16768,-1220
-32768,-18196,-1332
-32768,-21284,-2120
-29368,-22168,-5348
-25008,-21420,-6120
-23040,-31072,-1036
-19944,-30988,-104
-15912,-21976,-3492
-15336,-25568,-3780
-14140,-22792,-7776
-28052,-1596,-6952
-32768,32767,-23176
