AcX,AcY,AcZ
-20160,11316,12404
-668,19368,-24412
-22688,-5752,-17936
-16004,-8764,-7192
-15716,-5804,604
-18300,-96,-780
-18500,1108,-1672
-18552,-3908,-2020
-17920,-4720,-2828
-16780,-3188,-5140
-15508,-3296,-7460
-15248,-3448,-5348
-14116,-3920,-5492
-14280,-2736,-3964
-14508,-2356,-2920
-13496,-2540,-2324
-12664,-5252,-1616
-14176,-5748,-2240
-13580,-3820,-5112
-13708,-2044,-8824
-13276,-880,-9824
-14072,-1208,-10060
-16376,-564,-7652
-19372,852,-7268
-20728,844,-6684
-22036,40,-5436
-22612,136,-4220
-20036,-1804,-4592
-19012,-5056,-3168
-13464,732,-3088
-7948,11868,-1212
-8532,17912,-1784
-11332,23568,-3232
-12212,20424,-3284
-15364,8960,-3348
-15432,-4660,-3528
-20764,-32768,-6212
-23856,-32768,104
-14476,7188,6292
-1804,-3440,-26740
-26420,1484,-2944
-18524,-3796,-1984
-16840,-4772,-184
-16388,-5416,292
-17920,-6908,-1076
-17396,-4840,-1092
-17004,-4652,-2500
-14844,-4744,-5792
-13496,-4088,-7176
-13548,-3528,-6336
-14176,-908,-5756
-14328,-448,-5932
-14568,-984,-5464
-15644,-708,-4964
-16072,2384,-6232
-17556,3708,-5728
-19216,1448,-6424
-17944,-1020,-3860
-16752,-2672,-3400
-16868,-2632,-3928
-19684,-3768,-5520
-18340,-4208,-5124
-16384,-6440,-4716
-14460,-5636,-5316
-9052,-92,-8628
-7468,10184,-2996
-7412,18396,-4672
-10444,20596,-6860
-15044,13916,-5036
-17628,2720,-6688
-18900,-14388,-3356
-14412,-32768,-3400
-18576,-32768,3500
7888,25524,-5456
-18800,-2704,-21188
-21888,-6004,-2532
-13812,-5664,-4168
-17520,-5276,972
-15648,-4056,-2620
-17200,-3428,-1904
-16664,-6524,-2804
-16260,-5248,-2200
-15936,-6364,-4184
-15540,-4208,-4184
-16952,-2444,-3684
-14784,-3368,-4360
-12808,-2300,-4036
-15364,-4140,-4264
-14452,-3452,-4864
-14844,-4116,-5464
-17004,-2744,-7380
-17952,440,-8700
-16980,-120,-6764
-18008,876,-6560
-18436,1604,-5740
-18480,-376,-5188
-17544,-4356,-5200
-14236,72,-5732
-6564,14156,-4144
-7524,17340,-3576
-9996,16984,-3224
-15052,9536,-2868
-19336,-13556,-3356
-22540,-32768,1016
-20436,-32768,4936
-18968,-29344,-2724
6804,16040,-6552
-16216,-6188,-13772
-9812,-5776,-11328
-18808,-7264,-9612
-21028,1848,1616
-20068,2944,2396
-17484,-2288,-1316
-18064,-6864,-3112
-16336,-4016,-3948
-15484,-4792,-5448
-14136,-4736,-5808
-13020,-5292,-4848
-12516,-7928,-4288
-12572,-7512,-3812
